Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_wolfspeed_25kw_fm3\Altium\Project Outputs for uz_per_wolfspeed_25kw_FM3\Rev01\Pick Place\Pick_and_Place_uz_per_wolfspeed_25kw_FM3_jlc_Rev01.csv

========================================================================================================================
File Design Information:

Date:       28.02.25
Time:       21:04
Revision:   db283320f90673bcaeffb6a8d873253873e433c0
Variant:    jlc
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C27","C_0603","31.5435","31.5435","12.4608","12.4608","31.5435","13.1608","270","1 µF","TopLayer",""
"C34","C_0603","60.4000","60.4000","27.1000","27.1000","60.4000","26.4000","90","56 pF","TopLayer",""
"C28","C_0603","68.4000","68.4000","27.1000","27.1000","68.4000","26.4000","90","56 pF","TopLayer",""
"C7C","C_0603","60.2967","60.2967","15.4000","15.4000","60.2967","14.7000","90","56 pF","TopLayer",""
"C7B","C_0603","46.7342","46.7342","15.4000","15.4000","46.7342","14.7000","90","56 pF","TopLayer",""
"C7A","C_0603","46.9153","46.9153","26.9000","26.9000","46.9153","26.2000","90","56 pF","TopLayer",""
"C1C","C_0603","68.0967","68.0967","15.4000","15.4000","68.0967","14.7000","90","56 pF","TopLayer",""
"C1B","C_0603","54.5342","54.5342","15.4000","15.4000","54.5342","14.7000","90","56 pF","TopLayer",""
"C1A","C_0603","54.7153","54.7153","26.9000","26.9000","54.7153","26.2000","90","56 pF","TopLayer",""
"C30","C_0603","64.3000","64.3000","31.0000","31.0000","65.0000","31.0000","180","2.2 nF","TopLayer",""
"C3C","C_0603","64.0967","64.0967","19.4000","19.4000","64.7967","19.4000","180","2.2 nF","TopLayer",""
"C3B","C_0603","50.5342","50.5342","19.4000","19.4000","51.2342","19.4000","180","2.2 nF","TopLayer",""
"C3A","C_0603","50.8000","50.8000","30.6000","30.6000","51.5000","30.6000","180","2.2 nF","TopLayer",""
"C33","C_0603","64.5000","64.5000","24.6000","24.6000","65.2000","24.6000","180","100 nF","TopLayer",""
"C32","C_0603","64.3000","64.3000","29.7000","29.7000","65.0000","29.7000","180","100 nF","TopLayer",""
"C23","C_0603","40.3000","40.3000","12.4000","12.4000","40.3000","13.1000","270","1 µF","TopLayer",""
"C18","C_0603","23.6000","23.6000","16.5000","16.5000","22.9000","16.5000","0","100 nF","TopLayer",""
"C26","C_0603","31.5335","31.5335","15.1947","15.1947","31.5335","14.4947","90","100 nF","TopLayer",""
"C25","C_0603","28.4951","28.4951","12.4862","12.4862","27.7951","12.4862","0","100 nF","TopLayer",""
"C24","C_0603","28.4951","28.4951","11.1862","11.1862","27.7951","11.1862","0","1 µF","TopLayer",""
"C22","C_0603","40.3000","40.3000","15.0000","15.0000","40.3000","14.3000","90","100 nF","TopLayer",""
"C21","C_0603","37.3951","37.3951","12.4862","12.4862","36.6951","12.4862","0","100 nF","TopLayer",""
"C20","C_0603","37.3951","37.3951","11.1862","11.1862","36.6951","11.1862","0","1 µF","TopLayer",""
"C19","C_0603","23.6000","23.6000","17.9000","17.9000","22.9000","17.9000","0","1 µF","TopLayer",""
"C17","C_0603","24.1000","24.1000","10.7000","10.7000","23.4000","10.7000","0","100 nF","TopLayer",""
"C16","C_0603","24.1000","24.1000","9.4000","9.4000","23.4000","9.4000","0","1 µF","TopLayer",""
"C15","C_0603","-0.7000","-0.7000","10.4000","10.4000","0.0000","10.4000","180","1 µF","TopLayer",""
"C14","C_0603","-0.7000","-0.7000","11.9000","11.9000","0.0000","11.9000","180","100 nF","TopLayer",""
"C13","C_0603","9.7000","9.7000","10.4000","10.4000","10.4000","10.4000","180","1 µF","TopLayer",""
"C12","C_0603","9.7000","9.7000","11.9000","11.9000","10.4000","11.9000","180","100 nF","TopLayer",""
"C11B","C_0603","7.7000","7.7000","32.2000","32.2000","7.0000","32.2000","0","1 µF","TopLayer",""
