Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_wolfspeed_25kw_fm3\Altium\Project Outputs for uz_per_wolfspeed_25kw_FM3\Rev02\Pick Place\Pick_and_Place_uz_per_wolfspeed_25kw_FM3_jlc_Rev02.csv

========================================================================================================================
File Design Information:

Date:       19.03.25
Time:       15:06
Revision:   27e8fc953aa28eb6d7933fa9c60b1861326f86ea
Variant:    jlc
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C27","C_0603","33.7565","33.7565","12.2608","12.2608","33.7565","12.9608","270","1 µF","BottomLayer",""
"C34","C_0603","4.9000","4.9000","26.9000","26.9000","4.9000","26.2000","90","56 pF","BottomLayer",""
"C28","C_0603","-3.1000","-3.1000","26.9000","26.9000","-3.1000","26.2000","90","56 pF","BottomLayer",""
"C7C","C_0603","5.0034","5.0034","15.2000","15.2000","5.0034","14.5000","90","56 pF","BottomLayer",""
"C7B","C_0603","18.5658","18.5658","15.2000","15.2000","18.5658","14.5000","90","56 pF","BottomLayer",""
"C7A","C_0603","18.3847","18.3847","26.7000","26.7000","18.3847","26.0000","90","56 pF","BottomLayer",""
"C1C","C_0603","-2.7967","-2.7967","15.2000","15.2000","-2.7967","14.5000","90","56 pF","BottomLayer",""
"C1B","C_0603","10.7658","10.7658","15.2000","15.2000","10.7658","14.5000","90","56 pF","BottomLayer",""
"C1A","C_0603","10.5847","10.5847","26.7000","26.7000","10.5847","26.0000","90","56 pF","BottomLayer",""
"C30","C_0603","1.0000","1.0000","30.8000","30.8000","0.3000","30.8000","0","2.2 nF","BottomLayer",""
"C3C","C_0603","1.2033","1.2033","19.2000","19.2000","0.5033","19.2000","0","2.2 nF","BottomLayer",""
"C3B","C_0603","14.7658","14.7658","19.2000","19.2000","14.0658","19.2000","0","2.2 nF","BottomLayer",""
"C3A","C_0603","14.5000","14.5000","30.4000","30.4000","13.8000","30.4000","0","2.2 nF","BottomLayer",""
"C33","C_0603","0.8000","0.8000","24.4000","24.4000","0.1000","24.4000","0","100 nF","BottomLayer",""
"C32","C_0603","1.0000","1.0000","29.5000","29.5000","0.3000","29.5000","0","100 nF","BottomLayer",""
"C23","C_0603","25.0000","25.0000","12.2000","12.2000","25.0000","12.9000","270","1 µF","BottomLayer",""
"C18","C_0603","41.7000","41.7000","16.3000","16.3000","42.4000","16.3000","180","100 nF","BottomLayer",""
"C26","C_0603","33.7665","33.7665","14.9947","14.9947","33.7665","14.2947","90","100 nF","BottomLayer",""
"C25","C_0603","36.8049","36.8049","12.2862","12.2862","37.5049","12.2862","180","100 nF","BottomLayer",""
"C24","C_0603","36.8049","36.8049","10.9862","10.9862","37.5049","10.9862","180","1 µF","BottomLayer",""
"C22","C_0603","25.0000","25.0000","14.8000","14.8000","25.0000","14.1000","90","100 nF","BottomLayer",""
"C21","C_0603","27.9049","27.9049","12.2862","12.2862","28.6049","12.2862","180","100 nF","BottomLayer",""
"C20","C_0603","27.9049","27.9049","10.9862","10.9862","28.6049","10.9862","180","1 µF","BottomLayer",""
"C19","C_0603","41.7000","41.7000","17.7000","17.7000","42.4000","17.7000","180","1 µF","BottomLayer",""
"C17","C_0603","41.2000","41.2000","10.5000","10.5000","41.9000","10.5000","180","100 nF","BottomLayer",""
"C16","C_0603","41.2000","41.2000","9.2000","9.2000","41.9000","9.2000","180","1 µF","BottomLayer",""
"C15","C_0603","66.0000","66.0000","10.2000","10.2000","65.3000","10.2000","0","1 µF","BottomLayer",""
"C14","C_0603","66.0000","66.0000","11.7000","11.7000","65.3000","11.7000","0","100 nF","BottomLayer",""
"C13","C_0603","55.6000","55.6000","10.2000","10.2000","54.9000","10.2000","0","1 µF","BottomLayer",""
"C12","C_0603","55.6000","55.6000","11.7000","11.7000","54.9000","11.7000","0","100 nF","BottomLayer",""
"C11B","C_0603","57.6000","57.6000","32.0000","32.0000","58.3000","32.0000","180","1 µF","BottomLayer",""
"C11A","C_0603","66.5000","66.5000","32.0831","32.0831","67.2000","32.0831","180","1 µF","BottomLayer",""
"C10B","C_0603","57.6000","57.6000","30.7000","30.7000","58.3000","30.7000","180","100 nF","BottomLayer",""
"C10A","C_0603","66.5000","66.5000","30.7831","30.7831","67.2000","30.7831","180","100 nF","BottomLayer",""
"C9G","C_0603","23.7600","23.7600","33.8000","33.8000","24.4600","33.8000","180","1 µF","BottomLayer",""
"C9F","C_0603","24.8470","24.8470","26.1500","26.1500","25.5470","26.1500","180","1 µF","BottomLayer",""
"C9E","C_0603","31.9730","31.9730","33.8455","33.8455","32.6730","33.8455","180","1 µF","BottomLayer",""
"C9D","C_0603","48.1000","48.1000","26.0455","26.0455","48.8000","26.0455","180","1 µF","BottomLayer",""
"C9C","C_0603","50.0000","50.0000","33.8000","33.8000","50.7000","33.8000","180","1 µF","BottomLayer",""
"C9B","C_0603","40.8139","40.8139","33.8000","33.8000","41.5139","33.8000","180","1 µF","BottomLayer",""
"C9A","C_0603","34.0730","34.0730","25.7818","25.7818","34.7730","25.7818","180","1 µF","BottomLayer",""
"C8G","C_0603","23.7600","23.7600","32.5000","32.5000","24.4600","32.5000","180","100 nF","BottomLayer",""
"C8F","C_0603","24.8470","24.8470","24.8500","24.8500","25.5470","24.8500","180","100 nF","BottomLayer",""
"C8E","C_0603","31.9730","31.9730","32.5455","32.5455","32.6730","32.5455","180","100 nF","BottomLayer",""
"C8D","C_0603","48.1000","48.1000","24.7455","24.7455","48.8000","24.7455","180","100 nF","BottomLayer",""
"C8C","C_0603","50.0000","50.0000","32.5000","32.5000","50.7000","32.5000","180","100 nF","BottomLayer",""
"C8B","C_0603","40.8139","40.8139","32.5000","32.5000","41.5139","32.5000","180","100 nF","BottomLayer",""
"C8A","C_0603","34.0730","34.0730","24.4818","24.4818","34.7730","24.4818","180","100 nF","BottomLayer",""
"C6C","C_0603","1.0376","1.0376","12.8000","12.8000","0.3376","12.8000","0","100 nF","BottomLayer",""
"C6B","C_0603","14.6000","14.6000","12.8000","12.8000","13.9000","12.8000","0","100 nF","BottomLayer",""
"C6A","C_0603","14.4189","14.4189","24.3000","24.3000","13.7189","24.3000","0","100 nF","BottomLayer",""
"C5C","C_0603","1.1376","1.1376","17.5000","17.5000","0.4376","17.5000","0","100 nF","BottomLayer",""
"C5B","C_0603","14.7000","14.7000","17.5000","17.5000","14.0000","17.5000","0","100 nF","BottomLayer",""
"C5A","C_0603","14.5189","14.5189","29.0000","29.0000","13.8189","29.0000","0","100 nF","BottomLayer",""
"C31","C_0603_TE","2.4000","2.4000","32.6000","32.6000","1.6300","32.6000","270","100 pF","BottomLayer",""
"C29","C_0603_TE","-0.5000","-0.5000","32.6000","32.6000","-1.2700","32.6000","270","100 pF","BottomLayer",""
"C4C","C_0603_TE","2.7034","2.7034","20.8000","20.8000","1.9334","20.8000","270","100 pF","BottomLayer",""
"C4B","C_0603_TE","16.2658","16.2658","20.8000","20.8000","15.4958","20.8000","270","100 pF","BottomLayer",""
"C4A","C_0603_TE","16.0000","16.0000","31.9000","31.9000","15.2300","31.9000","270","100 pF","BottomLayer",""
"C2C","C_0603_TE","-0.3000","-0.3000","20.8000","20.8000","-1.0700","20.8000","270","100 pF","BottomLayer",""
"C2B","C_0603_TE","13.1658","13.1658","20.8000","20.8000","12.3958","20.8000","270","100 pF","BottomLayer",""
"C2A","C_0603_TE","13.0000","13.0000","31.9000","31.9000","12.2300","31.9000","270","100 pF","BottomLayer",""
"C37","C_1206","20.8000","20.8000","4.3000","4.3000","20.8000","2.8500","270","10 uF","BottomLayer",""
"C36","C_1206","26.0000","26.0000","4.3000","4.3000","26.0000","2.8500","270","10 uF","BottomLayer",""
"C35","C_1206","28.6000","28.6000","4.3000","4.3000","28.6000","2.8500","270","10 uF","BottomLayer",""
"C39","C_1206","23.4000","23.4000","4.3000","4.3000","23.4000","2.8500","270","10 uF","BottomLayer",""
"C38","C_1206","31.2000","31.2000","4.3000","4.3000","31.2000","2.8500","270","10 uF","BottomLayer",""
"U6","DBV0005A-IPC_A","41.7000","41.7000","13.5000","13.5000","42.6500","12.3495","90","TPS7A2033PDBVR","BottomLayer",""
"U8","DBV0006A-IPC_A","36.3049","36.3049","15.2862","15.2862","35.3549","16.4366","270","REF35250QDBVR","BottomLayer",""
"U7","DBV0006A-IPC_A","27.5049","27.5049","15.2862","15.2862","26.5549","16.4366","270","REF35170QDBVR","BottomLayer",""
"J1","HSEC8-TI-160-SAMTEC-Connector","33.8000","34.6000","10.0000","-3.8000","9.4000","-3.8000","0","HSEC8-TI-160-01-XX-DV-A-BL-CARD","TopLayer",""
"R26","R_0603_N","57.8000","57.8000","4.4500","4.4500","57.8000","5.2500","270","680R","BottomLayer",""
"R25","R_0603_N","56.4000","56.4000","4.4500","4.4500","56.4000","3.6500","90","680R","BottomLayer",""
"R24","R_0603_N","55.0000","55.0000","4.4500","4.4500","55.0000","5.2500","270","680R","BottomLayer",""
"R17","R_0603_N","46.4000","46.4000","15.0000","15.0000","45.6000","15.0000","0","680R","BottomLayer",""
"R16","R_0603_N","31.9049","31.9049","13.6862","13.6862","31.9049","12.8862","90","680R","BottomLayer",""
"R15","R_0603_N","23.1000","23.1000","13.4000","13.4000","23.1000","12.6000","90","680R","BottomLayer",""
"R14","R_0603_N","46.4000","46.4000","13.6000","13.6000","47.2000","13.6000","180","680R","BottomLayer",""
"R12B","R_0603_N","62.3000","62.3000","26.2000","26.2000","62.3000","25.4000","90","680R","BottomLayer",""
"R12A","R_0603_N","71.4000","71.4000","26.2000","26.2000","71.4000","25.4000","90","680R","BottomLayer",""
"R9G","R_0603_N","27.3600","27.3600","30.1500","30.1500","26.5600","30.1500","0","680R","BottomLayer",""
"R9F","R_0603_N","28.4470","28.4470","22.5000","22.5000","27.6470","22.5000","0","680R","BottomLayer",""
"R9E","R_0603_N","35.4000","35.4000","30.0000","30.0000","34.6000","30.0000","0","680R","BottomLayer",""
"R9D","R_0603_N","51.7000","51.7000","22.3955","22.3955","50.9000","22.3955","0","680R","BottomLayer",""
"R9C","R_0603_N","53.4270","53.4270","29.9545","29.9545","52.6270","29.9545","0","680R","BottomLayer",""
"R9B","R_0603_N","44.4139","44.4139","30.1500","30.1500","43.6139","30.1500","0","680R","BottomLayer",""
"R9A","R_0603_N","37.5000","37.5000","21.9363","21.9363","36.7000","21.9363","0","680R","BottomLayer",""
"R23","RES_0603_1608","6.5000","6.5000","26.9000","26.9000","6.5000","26.2500","90","10k","BottomLayer",""
"R22","RES_0603_1608","4.9000","4.9000","30.8000","30.8000","5.5500","30.8000","180","49R9","BottomLayer",""
"R20","RES_0603_1608","-2.7000","-2.7000","30.8000","30.8000","-3.3500","30.8000","0","49R9","BottomLayer",""
"R18","RES_0603_1608","-4.8000","-4.8000","26.9000","26.9000","-4.8000","26.2500","90","10k","BottomLayer",""
"R7C","RES_0603_1608","6.6034","6.6034","15.2000","15.2000","6.6034","14.5500","90","10k","BottomLayer",""
"R7B","RES_0603_1608","20.1658","20.1658","15.2000","15.2000","20.1658","14.5500","90","10k","BottomLayer",""
"R7A","RES_0603_1608","19.9847","19.9847","26.7000","26.7000","19.9847","26.0500","90","10k","BottomLayer",""
"R6C","RES_0603_1608","4.0876","4.0876","19.2000","19.2000","4.7376","19.2000","180","49R9","BottomLayer",""
"R6B","RES_0603_1608","17.6500","17.6500","19.2000","19.2000","18.3000","19.2000","180","49R9","BottomLayer",""
"R6A","RES_0603_1608","17.4000","17.4000","30.4000","30.4000","18.0500","30.4000","180","49R9","BottomLayer",""
"R2C","RES_0603_1608","-4.3967","-4.3967","15.2000","15.2000","-4.3967","14.5500","90","10k","BottomLayer",""
"R2B","RES_0603_1608","9.1658","9.1658","15.2000","15.2000","9.1658","14.5500","90","10k","BottomLayer",""
"R2A","RES_0603_1608","8.9847","8.9847","26.7000","26.7000","8.9847","26.0500","90","10k","BottomLayer",""
"R1","RES_0603_1608","-0.6000","-0.6000","46.5000","46.5000","-0.6000","45.8500","90","0R","BottomLayer",""
"R21","RES_0603_1608","3.3000","3.3000","23.6000","23.6000","3.3000","22.9500","90","6k65","BottomLayer",""
"R19","RES_0603_1608","-1.5000","-1.5000","23.5000","23.5000","-1.5000","22.8500","90","6k65","BottomLayer",""
"R11B","RES_0603_1608","60.5900","60.5900","26.2000","26.2000","60.5900","25.5500","90","10k","BottomLayer",""
"R11A","RES_0603_1608","69.7000","69.7000","26.2000","26.2000","69.7000","25.5500","90","10k","BottomLayer",""
"R13B","RES_0603_1608","57.5000","57.5000","25.6000","25.6000","56.8500","25.6000","0","10k","BottomLayer",""
"R13A","RES_0603_1608","66.4000","66.4000","25.6831","25.6831","65.7500","25.6831","0","10k","BottomLayer",""
"R8G","RES_0603_1608","23.1000","23.1000","27.9000","27.9000","23.7500","27.9000","180","10k","BottomLayer",""
"R8F","RES_0603_1608","24.1870","24.1870","20.2500","20.2500","24.8370","20.2500","180","10k","BottomLayer",""
"R8E","RES_0603_1608","31.3730","31.3730","27.9455","27.9455","32.0230","27.9455","180","10k","BottomLayer",""
"R8D","RES_0603_1608","47.4400","47.4400","20.1455","20.1455","48.0900","20.1455","180","10k","BottomLayer",""
"R8C","RES_0603_1608","49.4000","49.4000","27.9000","27.9000","50.0500","27.9000","180","10k","BottomLayer",""
"R8B","RES_0603_1608","40.1539","40.1539","27.9000","27.9000","40.8039","27.9000","180","10k","BottomLayer",""
"R8A","RES_0603_1608","33.1730","33.1730","19.8818","19.8818","33.8230","19.8818","180","10k","BottomLayer",""
"R4C","RES_0603_1608","-1.8967","-1.8967","19.2000","19.2000","-2.5467","19.2000","0","49R9","BottomLayer",""
"R4B","RES_0603_1608","11.6658","11.6658","19.2000","19.2000","11.0158","19.2000","0","49R9","BottomLayer",""
"R4A","RES_0603_1608","11.5000","11.5000","30.4000","30.4000","10.8500","30.4000","0","49R9","BottomLayer",""
"R5C","RES_0603_1608","3.2610","3.2610","11.7000","11.7000","3.2610","11.0500","90","6k65","BottomLayer",""
"R5B","RES_0603_1608","16.8235","16.8235","11.7000","11.7000","16.8235","11.0500","90","6k65","BottomLayer",""
"R5A","RES_0603_1608","16.7000","16.7000","23.5000","23.5000","16.7000","22.8500","90","6k65","BottomLayer",""
"R3C","RES_0603_1608","-0.5624","-0.5624","11.3000","11.3000","0.0876","11.3000","180","6k65","BottomLayer",""
"R3B","RES_0603_1608","12.3000","12.3000","11.7000","11.7000","12.3000","11.0500","90","6k65","BottomLayer",""
"R3A","RES_0603_1608","13.0000","13.0000","23.0000","23.0000","13.6500","23.0000","180","6k65","BottomLayer",""
"R10B","RES_2012X06N","61.5000","61.5000","31.3000","31.3000","60.5750","31.3000","0","56R","BottomLayer",""
"R10A","RES_2012X06N","70.4000","70.4000","31.3831","31.3831","69.4750","31.3831","0","56R","BottomLayer",""
"X1","R-RJ45R10P-B000","10.0250","10.0375","41.6425","41.2013","5.6000","37.8000","0","R-RJ45R10P-B000","BottomLayer",""
"X2","SAMTEC_TSW-103-05-G-D","12.2508","13.5208","2.3092","4.8492","12.2508","2.3092","90","2.54-2*3","BottomLayer",""
"U3B","SN74LVC2GU04DCKR","57.6000","57.6000","28.8000","28.8000","56.4750","28.1500","180","Dual Inverter","BottomLayer","180"
"U3A","SN74LVC2GU04DCKR","66.5000","66.5000","28.8831","28.8831","65.3750","28.2331","180","Dual Inverter","BottomLayer","180"
"U2G","SN74LVC2GU04DCKR","23.7600","23.7600","30.4854","30.4854","22.6350","29.8354","180","Dual Inverter","BottomLayer","180"
"U2F","SN74LVC2GU04DCKR","24.8470","24.8470","22.8354","22.8354","23.7220","22.1854","180","Dual Inverter","BottomLayer","180"
"U2E","SN74LVC2GU04DCKR","31.9730","31.9730","30.5309","30.5309","30.8480","29.8809","180","Dual Inverter","BottomLayer","180"
"U2D","SN74LVC2GU04DCKR","48.1000","48.1000","22.7309","22.7309","46.9750","22.0809","180","Dual Inverter","BottomLayer","180"
"U2C","SN74LVC2GU04DCKR","50.0000","50.0000","30.4854","30.4854","48.8750","29.8354","180","Dual Inverter","BottomLayer","180"
"U2B","SN74LVC2GU04DCKR","40.8139","40.8139","30.4854","30.4854","39.6889","29.8354","180","Dual Inverter","BottomLayer","180"
"U2A","SN74LVC2GU04DCKR","34.0730","34.0730","22.4672","22.4672","32.9480","21.8172","180","Dual Inverter","BottomLayer","180"
"U4","SOIC_S08DR_TEX","69.1000","69.1000","16.1000","16.1000","65.2900","18.8242","270","SN74HCS08DR","BottomLayer",""
"U5","SOIC_S08DR_TEX","58.8000","58.8000","16.2000","16.2000","54.9900","18.9242","270","SN74HCS08DR","BottomLayer",""
"U9","SOP65P490X110-8N","0.9045","0.9045","26.9000","26.9000","-1.2955","25.9250","0","THS4561IDGKT","BottomLayer",""
"U1C","SOP65P490X110-8N","1.1034","1.1034","15.2000","15.2000","-1.0967","14.2250","0","THS4561IDGKT","BottomLayer",""
"U1B","SOP65P490X110-8N","14.6658","14.6658","15.2000","15.2000","12.4658","14.2250","0","THS4561IDGKT","BottomLayer",""
"U1A","SOP65P490X110-8N","14.4847","14.4847","26.7000","26.7000","12.2847","25.7250","0","THS4561IDGKT","BottomLayer",""
"L4","WE-CBF_0805_High_Current","38.3000","38.3000","5.6000","5.6000","38.3000","4.3000","90","600O","BottomLayer",""
"L3","WE-CBF_0805_High_Current","36.3000","36.3000","5.6000","5.6000","36.3000","4.3000","90","600O","BottomLayer",""
"L2","WE-CBF_0805_High_Current","41.3000","41.3000","5.6000","5.6000","41.3000","4.3000","90","600O","BottomLayer",""
"L1","WE-CBF_0805_High_Current","44.9000","44.9000","3.9000","3.9000","46.2000","3.9000","180","600O","BottomLayer",""
