Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_wolfspeed_25kw_fm3\Altium\Project Outputs for uz_per_wolfspeed_25kw_FM3\Rev03\Pick Place\Pick_and_Place_uz_per_wolfspeed_25kw_FM3_jlc_Rev03.csv

========================================================================================================================
File Design Information:

Date:       14.04.25
Time:       08:40
Revision:   138adaf6fa9a41dbf593b93c2c2c4438b06127e6
Variant:    jlc
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C27","C_0603","29.8815","29.8815","12.4607","12.4607","29.8815","13.1607","270","1 µF","BottomLayer",""
"C34","C_0603","1.0250","1.0250","27.0999","27.0999","1.0250","26.3999","90","56 pF","BottomLayer",""
"C28","C_0603","-6.9750","-6.9750","27.0999","27.0999","-6.9750","26.3999","90","56 pF","BottomLayer",""
"C7C","C_0603","1.1284","1.1284","15.3999","15.3999","1.1284","14.6999","90","56 pF","BottomLayer",""
"C7B","C_0603","14.6908","14.6908","15.3999","15.3999","14.6908","14.6999","90","56 pF","BottomLayer",""
"C7A","C_0603","14.5097","14.5097","26.8999","26.8999","14.5097","26.1999","90","56 pF","BottomLayer",""
"C1C","C_0603","-6.6716","-6.6716","15.3999","15.3999","-6.6716","14.6999","90","56 pF","BottomLayer",""
"C1B","C_0603","6.8908","6.8908","15.3999","15.3999","6.8908","14.6999","90","56 pF","BottomLayer",""
"C1A","C_0603","6.7097","6.7097","26.8999","26.8999","6.7097","26.1999","90","56 pF","BottomLayer",""
"C30","C_0603","-2.8750","-2.8750","30.9999","30.9999","-3.5750","30.9999","0","2.2 nF","BottomLayer",""
"C3C","C_0603","-2.6716","-2.6716","19.3999","19.3999","-3.3716","19.3999","0","2.2 nF","BottomLayer",""
"C3B","C_0603","10.8908","10.8908","19.3999","19.3999","10.1908","19.3999","0","2.2 nF","BottomLayer",""
"C3A","C_0603","10.6250","10.6250","30.5999","30.5999","9.9250","30.5999","0","2.2 nF","BottomLayer",""
"C33","C_0603","-3.0750","-3.0750","24.5999","24.5999","-3.7750","24.5999","0","100 nF","BottomLayer",""
"C32","C_0603","-2.8750","-2.8750","29.6999","29.6999","-3.5750","29.6999","0","100 nF","BottomLayer",""
"C23","C_0603","21.1250","21.1250","12.3999","12.3999","21.1250","13.0999","270","1 µF","BottomLayer",""
"C18","C_0603","37.8250","37.8250","16.4999","16.4999","38.5250","16.4999","180","100 nF","BottomLayer",""
"C26","C_0603","29.8915","29.8915","15.1946","15.1946","29.8915","14.4946","90","100 nF","BottomLayer",""
"C25","C_0603","32.9299","32.9299","12.4860","12.4860","33.6299","12.4860","180","100 nF","BottomLayer",""
"C24","C_0603","32.9299","32.9299","11.1860","11.1860","33.6299","11.1860","180","1 µF","BottomLayer",""
"C22","C_0603","21.1250","21.1250","14.9999","14.9999","21.1250","14.2999","90","100 nF","BottomLayer",""
"C21","C_0603","24.0299","24.0299","12.4860","12.4860","24.7299","12.4860","180","100 nF","BottomLayer",""
"C20","C_0603","24.0299","24.0299","11.1860","11.1860","24.7299","11.1860","180","1 µF","BottomLayer",""
"C19","C_0603","37.8250","37.8250","17.8999","17.8999","38.5250","17.8999","180","1 µF","BottomLayer",""
"C17","C_0603","37.3250","37.3250","10.6999","10.6999","38.0250","10.6999","180","100 nF","BottomLayer",""
"C16","C_0603","37.3250","37.3250","9.3999","9.3999","38.0250","9.3999","180","1 µF","BottomLayer",""
"C15","C_0603","62.1250","62.1250","10.3999","10.3999","61.4250","10.3999","0","1 µF","BottomLayer",""
"C14","C_0603","62.1250","62.1250","11.8999","11.8999","61.4250","11.8999","0","100 nF","BottomLayer",""
"C13","C_0603","51.7250","51.7250","10.3999","10.3999","51.0250","10.3999","0","1 µF","BottomLayer",""
"C12","C_0603","51.7250","51.7250","11.8999","11.8999","51.0250","11.8999","0","100 nF","BottomLayer",""
"C11B","C_0603","53.7250","53.7250","32.1999","32.1999","54.4250","32.1999","180","1 µF","BottomLayer",""
"C11A","C_0603","62.6250","62.6250","32.2830","32.2830","63.3250","32.2830","180","1 µF","BottomLayer",""
"C10B","C_0603","53.7250","53.7250","30.8999","30.8999","54.4250","30.8999","180","100 nF","BottomLayer",""
"C10A","C_0603","62.6250","62.6250","30.9830","30.9830","63.3250","30.9830","180","100 nF","BottomLayer",""
"C9G","C_0603","19.8850","19.8850","33.9999","33.9999","20.5850","33.9999","180","1 µF","BottomLayer",""
"C9F","C_0603","28.9000","28.9000","26.0818","26.0818","29.6000","26.0818","180","1 µF","BottomLayer",""
"C9E","C_0603","28.0980","28.0980","34.0454","34.0454","28.7980","34.0454","180","1 µF","BottomLayer",""
"C9D","C_0603","45.5000","45.5000","26.1455","26.1455","46.2000","26.1455","180","1 µF","BottomLayer",""
"C9C","C_0603","46.1250","46.1250","33.9999","33.9999","46.8250","33.9999","180","1 µF","BottomLayer",""
"C9B","C_0603","36.9389","36.9389","33.9999","33.9999","37.6389","33.9999","180","1 µF","BottomLayer",""
"C9A","C_0603","37.6480","37.6480","26.2205","26.2205","38.3480","26.2205","180","1 µF","BottomLayer",""
"C8G","C_0603","19.8850","19.8850","32.6999","32.6999","20.5850","32.6999","180","100 nF","BottomLayer",""
"C8F","C_0603","28.9000","28.9000","24.7818","24.7818","29.6000","24.7818","180","100 nF","BottomLayer",""
"C8E","C_0603","28.0980","28.0980","32.7454","32.7454","28.7980","32.7454","180","100 nF","BottomLayer",""
"C8D","C_0603","45.5000","45.5000","24.8455","24.8455","46.2000","24.8455","180","100 nF","BottomLayer",""
"C8C","C_0603","46.1250","46.1250","32.6999","32.6999","46.8250","32.6999","180","100 nF","BottomLayer",""
"C8B","C_0603","36.9389","36.9389","32.6999","32.6999","37.6389","32.6999","180","100 nF","BottomLayer",""
"C8A","C_0603","37.6480","37.6480","24.9205","24.9205","38.3480","24.9205","180","100 nF","BottomLayer",""
"C6C","C_0603","-2.8374","-2.8374","12.9999","12.9999","-3.5374","12.9999","0","100 nF","BottomLayer",""
"C6B","C_0603","10.7250","10.7250","12.9999","12.9999","10.0250","12.9999","0","100 nF","BottomLayer",""
"C6A","C_0603","10.5439","10.5439","24.4999","24.4999","9.8439","24.4999","0","100 nF","BottomLayer",""
"C5C","C_0603","-2.7374","-2.7374","17.6999","17.6999","-3.4374","17.6999","0","100 nF","BottomLayer",""
"C5B","C_0603","10.8250","10.8250","17.6999","17.6999","10.1250","17.6999","0","100 nF","BottomLayer",""
"C5A","C_0603","10.6439","10.6439","29.1999","29.1999","9.9439","29.1999","0","100 nF","BottomLayer",""
"C31","C_0603_TE","-1.4750","-1.4750","32.7999","32.7999","-2.2450","32.7999","270","100 pF","BottomLayer",""
"C29","C_0603_TE","-4.3750","-4.3750","32.7999","32.7999","-5.1450","32.7999","270","100 pF","BottomLayer",""
"C4C","C_0603_TE","-1.1716","-1.1716","20.9999","20.9999","-1.9416","20.9999","270","100 pF","BottomLayer",""
"C4B","C_0603_TE","12.3908","12.3908","20.9999","20.9999","11.6208","20.9999","270","100 pF","BottomLayer",""
"C4A","C_0603_TE","12.1250","12.1250","32.0999","32.0999","11.3550","32.0999","270","100 pF","BottomLayer",""
"C2C","C_0603_TE","-4.1750","-4.1750","20.9999","20.9999","-4.9450","20.9999","270","100 pF","BottomLayer",""
"C2B","C_0603_TE","9.2908","9.2908","20.9999","20.9999","8.5208","20.9999","270","100 pF","BottomLayer",""
"C2A","C_0603_TE","9.1250","9.1250","32.0999","32.0999","8.3550","32.0999","270","100 pF","BottomLayer",""
"C37","C_1206","16.9250","16.9250","4.4999","4.4999","16.9250","3.0499","270","10 uF","BottomLayer",""
"C36","C_1206","22.1250","22.1250","4.4999","4.4999","22.1250","3.0499","270","10 uF","BottomLayer",""
"C35","C_1206","24.7250","24.7250","4.4999","4.4999","24.7250","3.0499","270","10 uF","BottomLayer",""
"C39","C_1206","19.5250","19.5250","4.4999","4.4999","19.5250","3.0499","270","10 uF","BottomLayer",""
"C38","C_1206","27.3250","27.3250","4.4999","4.4999","27.3250","3.0499","270","10 uF","BottomLayer",""
"U6","DBV0005A-IPC_A","37.8250","37.8250","13.6999","13.6999","38.7750","12.5494","90","TPS7A2033PDBVR","BottomLayer",""
"U8","DBV0006A-IPC_A","32.4299","32.4299","15.4860","15.4860","31.4799","16.6365","270","REF35250QDBVR","BottomLayer",""
"U7","DBV0006A-IPC_A","23.6299","23.6299","15.4860","15.4860","22.6799","16.6365","270","REF35170QDBVR","BottomLayer",""
"J1","HSEC8-TI-160-SAMTEC-Connector","29.9000","30.7000","10.2000","-3.6000","5.5000","-3.6000","0","HSEC8-TI-160-01-XX-DV-A-BL-CARD","TopLayer",""
"R26","R_0603_N","53.9250","53.9250","4.6499","4.6499","53.9250","5.4499","270","680R","BottomLayer",""
"R25","R_0603_N","52.5250","52.5250","4.6499","4.6499","52.5250","3.8499","90","680R","BottomLayer",""
"R24","R_0603_N","51.1250","51.1250","4.6499","4.6499","51.1250","5.4499","270","680R","BottomLayer",""
"R17","R_0603_N","42.5250","42.5250","15.1999","15.1999","41.7250","15.1999","0","680R","BottomLayer",""
"R16","R_0603_N","28.0299","28.0299","13.8860","13.8860","28.0299","13.0860","90","680R","BottomLayer",""
"R14","R_0603_N","42.5250","42.5250","13.7999","13.7999","43.3250","13.7999","180","680R","BottomLayer",""
"R12B","R_0603_N","58.4250","58.4250","26.3999","26.3999","58.4250","25.5999","90","680R","BottomLayer",""
"R12A","R_0603_N","67.5250","67.5250","26.3999","26.3999","67.5250","25.5999","90","680R","BottomLayer",""
"R9G","R_0603_N","23.4850","23.4850","30.3499","30.3499","22.6850","30.3499","0","680R","BottomLayer",""
"R9F","R_0603_N","32.5000","32.5000","22.4318","22.4318","31.7000","22.4318","0","680R","BottomLayer",""
"R9E","R_0603_N","31.5250","31.5250","30.1999","30.1999","30.7250","30.1999","0","680R","BottomLayer",""
"R9D","R_0603_N","49.1000","49.1000","23.2000","23.2000","48.3000","23.2000","0","680R","BottomLayer",""
"R9C","R_0603_N","49.5520","49.5520","30.1544","30.1544","48.7520","30.1544","0","680R","BottomLayer",""
"R9B","R_0603_N","40.5389","40.5389","30.3499","30.3499","39.7389","30.3499","0","680R","BottomLayer",""
"R9A","R_0603_N","41.0750","41.0750","22.3750","22.3750","40.2750","22.3750","0","680R","BottomLayer",""
"R23","RES_0603_1608","2.6250","2.6250","27.0999","27.0999","2.6250","26.4499","90","10k","BottomLayer",""
"R22","RES_0603_1608","1.0250","1.0250","30.9999","30.9999","1.6750","30.9999","180","49R9","BottomLayer",""
"R20","RES_0603_1608","-6.5750","-6.5750","30.9999","30.9999","-7.2250","30.9999","0","49R9","BottomLayer",""
"R18","RES_0603_1608","-8.6750","-8.6750","27.0999","27.0999","-8.6750","26.4499","90","10k","BottomLayer",""
"R7C","RES_0603_1608","2.7284","2.7284","15.3999","15.3999","2.7284","14.7499","90","10k","BottomLayer",""
"R7B","RES_0603_1608","16.2908","16.2908","15.3999","15.3999","16.2908","14.7499","90","10k","BottomLayer",""
"R7A","RES_0603_1608","16.1097","16.1097","26.8999","26.8999","16.1097","26.2499","90","10k","BottomLayer",""
"R6C","RES_0603_1608","0.2126","0.2126","19.3999","19.3999","0.8626","19.3999","180","49R9","BottomLayer",""
"R6B","RES_0603_1608","13.7750","13.7750","19.3999","19.3999","14.4250","19.3999","180","49R9","BottomLayer",""
"R6A","RES_0603_1608","13.5250","13.5250","30.5999","30.5999","14.1750","30.5999","180","49R9","BottomLayer",""
"R2C","RES_0603_1608","-8.2716","-8.2716","15.3999","15.3999","-8.2716","14.7499","90","10k","BottomLayer",""
"R2B","RES_0603_1608","5.2908","5.2908","15.3999","15.3999","5.2908","14.7499","90","10k","BottomLayer",""
"R2A","RES_0603_1608","5.1097","5.1097","26.8999","26.8999","5.1097","26.2499","90","10k","BottomLayer",""
"R1","RES_0603_1608","-6.6000","-6.6000","47.4000","47.4000","-6.6000","46.7500","90","0R","BottomLayer",""
"R15","RES_0603_1608","19.2000","19.2000","13.6000","13.6000","19.2000","14.2500","270","49R9","BottomLayer",""
"R21","RES_0603_1608","-0.5750","-0.5750","23.7999","23.7999","-0.5750","23.1499","90","6k65","BottomLayer",""
"R19","RES_0603_1608","-5.3750","-5.3750","23.6999","23.6999","-5.3750","23.0499","90","6k65","BottomLayer",""
"R11B","RES_0603_1608","56.7150","56.7150","26.3999","26.3999","56.7150","25.7499","90","10k","BottomLayer",""
"R11A","RES_0603_1608","65.8250","65.8250","26.3999","26.3999","65.8250","25.7499","90","10k","BottomLayer",""
"R13B","RES_0603_1608","53.6250","53.6250","25.7999","25.7999","52.9750","25.7999","0","10k","BottomLayer",""
"R13A","RES_0603_1608","62.5250","62.5250","25.8830","25.8830","61.8750","25.8830","0","10k","BottomLayer",""
"R8G","RES_0603_1608","19.2250","19.2250","28.0999","28.0999","19.8750","28.0999","180","10k","BottomLayer",""
"R8F","RES_0603_1608","28.2400","28.2400","20.1818","20.1818","28.8900","20.1818","180","10k","BottomLayer",""
"R8E","RES_0603_1608","27.4980","27.4980","28.1454","28.1454","28.1480","28.1454","180","10k","BottomLayer",""
"R8D","RES_0603_1608","44.8400","44.8400","20.2455","20.2455","45.4900","20.2455","180","10k","BottomLayer",""
"R8C","RES_0603_1608","45.5250","45.5250","28.0999","28.0999","46.1750","28.0999","180","10k","BottomLayer",""
"R8B","RES_0603_1608","36.2789","36.2789","28.0999","28.0999","36.9289","28.0999","180","10k","BottomLayer",""
"R8A","RES_0603_1608","36.7480","36.7480","20.3205","20.3205","37.3980","20.3205","180","10k","BottomLayer",""
"R4C","RES_0603_1608","-5.7716","-5.7716","19.3999","19.3999","-6.4216","19.3999","0","49R9","BottomLayer",""
"R4B","RES_0603_1608","7.7908","7.7908","19.3999","19.3999","7.1408","19.3999","0","49R9","BottomLayer",""
"R4A","RES_0603_1608","7.6250","7.6250","30.5999","30.5999","6.9750","30.5999","0","49R9","BottomLayer",""
"R5C","RES_0603_1608","-0.6140","-0.6140","11.8999","11.8999","-0.6140","11.2499","90","6k65","BottomLayer",""
"R5B","RES_0603_1608","12.9485","12.9485","11.8999","11.8999","12.9485","11.2499","90","6k65","BottomLayer",""
"R5A","RES_0603_1608","12.8250","12.8250","23.6999","23.6999","12.8250","23.0499","90","6k65","BottomLayer",""
"R3C","RES_0603_1608","-4.4374","-4.4374","11.4999","11.4999","-3.7874","11.4999","180","6k65","BottomLayer",""
"R3B","RES_0603_1608","8.4250","8.4250","11.8999","11.8999","8.4250","11.2499","90","6k65","BottomLayer",""
"R3A","RES_0603_1608","9.1250","9.1250","23.1999","23.1999","9.7750","23.1999","180","6k65","BottomLayer",""
"R10B","RES_2012X06N","57.6250","57.6250","31.4999","31.4999","56.7000","31.4999","0","56R","BottomLayer",""
"R10A","RES_2012X06N","66.5250","66.5250","31.5830","31.5830","65.6000","31.5830","0","56R","BottomLayer",""
"X1","R-RJ45R10P-B000","4.0000","4.0125","42.7000","42.2588","-0.4250","38.8575","0","R-RJ45R10P-B000","BottomLayer",""
"X2","SAMTEC_TSW-103-05-G-D","8.3758","9.6458","2.5091","5.0491","8.3758","2.5091","90","2.54-2*3","BottomLayer",""
"U3B","SN74LVC2GU04DCKR","53.7250","53.7250","28.9999","28.9999","52.6000","28.3499","180","Dual Inverter","BottomLayer","180"
"U3A","SN74LVC2GU04DCKR","62.6250","62.6250","29.0830","29.0830","61.5000","28.4330","180","Dual Inverter","BottomLayer","180"
"U2G","SN74LVC2GU04DCKR","19.8850","19.8850","30.6852","30.6852","18.7600","30.0352","180","Dual Inverter","BottomLayer","180"
