Altium Designer Pick and Place Locations
C:\GIT\UltraZohm\pcb_design\uz_per_wolfspeed_25kw_fm3\Altium\Project Outputs for uz_per_wolfspeed_25kw_FM3\Rev04\Pick Place\Pick_and_Place_uz_per_wolfspeed_25kw_FM3_jlc_Rev04.csv

========================================================================================================================
File Design Information:

Date:       23.06.26
Time:       16:29
Revision:   779c2d4870721e38ad8984607e06dcbdd430513e
Variant:    jlc
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer","JLCSMT Rotation"
"C63","C_0603","48.5000","48.5000","16.3000","16.3000","49.2000","16.3000","180","1 µF","BottomLayer",""
"C62","C_0603","48.5500","48.5500","15.1000","15.1000","49.2500","15.1000","180","100 nF","BottomLayer",""
"C61","C_0603","50.0500","50.0500","9.1000","9.1000","50.0500","9.8000","270","100 nF","BottomLayer",""
"C60","C_0603","50.8000","50.8000","33.7000","33.7000","50.8000","34.4000","270","1 µF","BottomLayer",""
"C59","C_0603","49.6000","49.6000","33.7000","33.7000","49.6000","34.4000","270","100 nF","BottomLayer",""
"C58","C_0603","47.0000","47.0000","22.8000","22.8000","47.0000","23.5000","270","1 µF","BottomLayer",""
"C57","C_0603","48.2000","48.2000","22.8000","22.8000","48.2000","23.5000","270","100 nF","BottomLayer",""
"C56","C_0603","51.5000","51.5000","40.4000","40.4000","51.5000","39.7000","90","1 µF","BottomLayer",""
"C55","C_0603","50.3000","50.3000","40.4000","40.4000","50.3000","39.7000","90","100 nF","BottomLayer",""
"C35","C_0603","34.9299","34.9299","35.9561","35.9561","35.6299","35.9561","180","1 µF","BottomLayer",""
"C34","C_0603","34.9000","34.9000","27.5000","27.5000","35.6000","27.5000","180","1 µF","BottomLayer",""
"C33","C_0603","34.9000","34.9000","18.9000","18.9000","35.6000","18.9000","180","1 µF","BottomLayer",""
"C32","C_0603","22.3000","22.3000","33.8000","33.8000","22.3000","33.1000","90","1 µF","BottomLayer",""
"C31","C_0603","34.9299","34.9299","37.1561","37.1561","35.6299","37.1561","180","100 nF","BottomLayer",""
"C30","C_0603","34.9000","34.9000","28.7000","28.7000","35.6000","28.7000","180","100 nF","BottomLayer",""
"C29","C_0603","34.9000","34.9000","20.1000","20.1000","35.6000","20.1000","180","100 nF","BottomLayer",""
"C28","C_0603","19.6000","19.6000","33.8000","33.8000","19.6000","33.1000","90","100 nF","BottomLayer",""
"C47","C_0603","29.8815","29.8815","12.4607","12.4607","29.8815","13.1607","270","1 µF","BottomLayer",""
"C54","C_0603","1.0250","1.0250","27.0999","27.0999","1.0250","26.3999","90","56 pF","BottomLayer",""
"C48","C_0603","-6.9750","-6.9750","27.0999","27.0999","-6.9750","26.3999","90","56 pF","BottomLayer",""
"C12C","C_0603","1.1284","1.1284","15.3999","15.3999","1.1284","14.6999","90","56 pF","BottomLayer",""
"C12B","C_0603","14.6908","14.6908","15.3999","15.3999","14.6908","14.6999","90","56 pF","BottomLayer",""
"C12A","C_0603","14.5097","14.5097","26.8999","26.8999","14.5097","26.1999","90","56 pF","BottomLayer",""
"C6C","C_0603","-6.6716","-6.6716","15.3999","15.3999","-6.6716","14.6999","90","56 pF","BottomLayer",""
